href,label,jobTitle,companyName,companyLocation,salary-snippet,ialbl,job-snippet,date,shelfItem,job-snippet 2,job-snippet 3
https://pk.indeed.com/rc/clk?jk=d5efb2e0515cdc69&fccid=0a8adc92adb8cdc0&vjs=3,,Admin Assistant Digitally,Click Jobs,Lahore,,,We are looking for a documents administrator for students record keeping using Microsoft Office Word & Excel.,30+ days ago,,Basic knowledge of Email (Gmail or hotmail).,
https://pk.indeed.com/company/Eastern-Federal-Union/jobs/Business-Team-Leader-469a14e9c02ec3cc?fccid=9aaf86fb67e6e622&vjs=3,new,Business Team Leader,Eastern Federal Union,Lahore,"Rs 35,000 - Rs 40,000 a month",Easily apply,"_Intermediate, FA, FSC, ICS, I.",Today,Responsive employer,_Any Graduation or Master degree._.,Help the Team for achieve his responsibility.
https://pk.indeed.com/company/Vision-Consulting/jobs/Fresh-Student-Salary-b2d066392fcdb1d9?fccid=064de52e18900ca1&vjs=3,,Jobs for fresh students Salary 25k,,Lahore,"Rs 23,000 - Rs 65,000 a month",Easily apply,Salary basic 18000 to 20000 + commission +incentive.,27 days ago,Responsive employer,Part time and full time.,"Job Types: Full-time, Part-time."
https://pk.indeed.com/company/HRSG-Outsourcing/jobs/Station-Manager-57e6c4882292b944?fccid=9a07d49b07dd2c03&vjs=3,,Station Manager,,Lahore,"Rs 40,000 - Rs 60,000 a month",Easily apply,A. *Daily Operations Management* (Including Reporting).,30+ days ago,,"Submission of daily sales data Fuel, Non Fuel and Allied facilities to Head office on daily basis with…",
https://pk.indeed.com/company/Mabali-Island/jobs/Supervisor-fc14ecf26bbd76e5?fccid=65286c1441285c68&vjs=3,,Supervisor,Mabali Island,Lahore,"Rs 35,000 a month",Easily apply to this job without a resume,All staff benifits and good salary packages offered.,18 days ago,,Vaccination & all medical assistance is provided.,
https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CkVxzyYNKTJZwcmJF9MlFhvo_sCDaCtuXSP6no9rSjMtqh4Nm7j8rKI7-kfyIDHLpZm42MHqzSNpNYSKdXoIKmFe1h0N654RGhEJLq4K-E2DXsaP4XT-tg3NZwYcaNJCiX0AqwZ2-Gk0Uba67xsFFL9O2OxzdCOIIc8u6cJiN15fUOldAcbcA9U90-KJlYGhzi08SD9cvxfzwNMFed6CrQZlceRnA87hXo3v37z_kGRxfGWFG5M87rreeOUTABkI49Nnb98ba20iUqXwVzCo-NWzc6AmwRbBV-ADS4O2VHGW3nqjz7A2IdlsiWoTKmuBdPKLjpJUxBg45UKEsZxKEhCtAkd9e25S9AuFy7tL3x-QBpyE_GAHZOBh4xppS9US927lbXNP2rKMCBG-VmNWFH--dlPyyYyJ41OdU-SyzZWfElJvG4qxneyHosu0DQuA9KxL4Zw0E_0lK_GZNY1JB3edAZKqgj_IvmQZ1wAEnZJA==&p=0&fvj=1&vjs=3,,Call Centre / Customer Service Agent,Prime Group,Lahore,"Rs 20,000 - Rs 100,000 a month",Easily apply,Prime Group is an Australian based group of businesses that deals with various medical and non-medical projects.,30+ days ago,Responsive employer,Meet or exceed all sales targets.,
https://pk.indeed.com/company/Mumuso-Pakistan/jobs/Cashier-f8696a3955ebe19f?fccid=4722278e3085c772&vjs=3,,Cashier,Mumuso Pakistan,Lahore,"Rs 25,000 - Rs 35,000 a month",Easily apply,"Handle cash, credit or check transactions with customers.",19 days ago,Responsive employer,Scan goods and collect payments.,Ensure pricing is correct.
https://pk.indeed.com/rc/clk?jk=5fdeaad9bcc40d69&fccid=0a8adc92adb8cdc0&vjs=3,,Call Center Agent,Click Jobs,Lahore,,,"This a golden opportunity for make money in such time when the whole world is locked down, deflation, depression and unemployment.",30+ days ago,,American Accent is a Plus.,
https://pk.indeed.com/company/KS-Logico/jobs/Data-Entry-Operator-9dbc2955354965ae?fccid=32b2eacbc1493c84&vjs=3,new,Data Entry Operator,KS Logico,Islamabad,"Rs 15,000 - Rs 20,000 a month",Easily apply,"The Data Entry Specialist provides varied administrative and technical support to firm personnel including document production, typing and reformatting text…",1 day ago,,,
https://pk.indeed.com/company/Intent-Communication/jobs/Call-Center-Representative-3a549934da5474da?fccid=e3f4e0eded53972f&vjs=3,new,Call Center Representative (Part Time and Full Time),Intent Communication,Lahore,"Rs 25,000 - Rs 45,000 a month",Easily apply,> We Deals in outbound & inbound call centres.,Today,,> Jobs are available only in Lahore.,> Pick & drop available for Females only in Night shift.
https://pk.indeed.com/company/M&P-Express-Logistics-Private-Limited/jobs/Branch-Incharge-f10d536202696822?fccid=24270bc4fb2935ea&vjs=3,new,Branch Incharge,M&P Express Logistics Private Limited,Mansehra,"Rs 20,000 - Rs 30,000 a month",Easily apply,Smooth & efficient functioning of operational & administrative activities of branch and Increase the business & revenue of the Branch.,Just posted,Responsive employer,,
https://pk.indeed.com/company/Senew-Tech/jobs/Data-Entry-Executive-42d47c42f010a246?fccid=b37ea5b54d2b5ba2&vjs=3,new,Data Entry Executive,Senew Tech,Lahore,"Rs 18,000 - Rs 20,000 a month",Easily apply,Senew Tech is looking for a Data Entry Executive to support our Development and Business teams.,Just posted,,Scrap data for potential clients from different platforms.,
https://pk.indeed.com/company/Sybrid-(Pvt)-Ltd/jobs/Customer-Support-Specialist-Inbound-a8a8d395b1195351?fccid=7050fc75ecf35ac5&vjs=3,,Customer Support Specialist Inbound(Basic Salary 45k+ Benefi...,,Islamabad,"Rs 45,000 a month",Easily apply,"Customer Support Specialist (Inbound Campaign) * responsibilities include resolving customer queries, recommending solutions.",21 days ago,Responsive employer,,
https://pk.indeed.com/company/Eastern-Federal-Union/jobs/Team-Leader-3e6cc9e0b3dfba43?fccid=9aaf86fb67e6e622&vjs=3,,Team Leader,Eastern Federal Union,Lahore,"Rs 40,000 - Rs 80,000 a month",Easily apply,"_Intermediate (FA, FSC, ICS, BA, Or Graduate)_.",30+ days ago,Responsive employer,Fresh Male and Female Eligible for Apply.,Conventional Insurance / Takaful Insurance / Banca Insurance sale…
https://pk.indeed.com/company/She-Means-Work/jobs/Store-Incharge-8f28b3cbcff97e4b?fccid=3ac304ea6d578836&vjs=3,,Store Incharge,She Means Work,Rahim Yar Khan,"Rs 40,000 - Rs 50,000 a month",Easily apply,Overall care of staff and their well-being.,30 days ago,,Presentation of store and advertising displays.,"Recruiting, performance management, and workplace scheduling."
https://pk.indeed.com/company/NANO-Technology/jobs/Office-Assistant-f1883cf96af4b367?fccid=5cab7413cc8ee315&vjs=3,new,Office Assistant,NANO Technology,Lahore,"Rs 10,000 - Rs 12,000 a month",Easily apply,We need part time office assistant for Database and file work.,1 day ago,Responsive employer,MS office excel and computer literacy will be preferred.,Part-time hours: 15 per week.
https://pk.indeed.com/company/Inbound-Inc-Communication/jobs/Customer-Service-Representative-37bc4f001d88c046?fccid=59fb8c87d6731d64&vjs=3,new,Customer Service Representative,Inbound Inc Communication,Lahore,"Rs 50,000 - Rs 60,000 a month",Easily apply,Strong Command over Spoken-English with having good American or British Accent.,Today,Responsive employer,Candidates should be willing to work in night shift (8 pm-5 am).,
https://pk.indeed.com/rc/clk?jk=f6181c41967260b3&fccid=77361a5ec5ccd06f&vjs=3,,Lab Assistant,,Lahore,,,Ideal candidate should have BSC degree and some relevant experience.,30+ days ago,,,
https://pk.indeed.com/company/Thermosole-Industries-Pvt-Ltd/jobs/Human-Resource-Assistant-b50bea9efd42f82e?fccid=2608f53280e1b586&vjs=3,new,Human Resource Assistant,Thermosole Industries Pvt Ltd,Lahore,"Rs 25,000 - Rs 30,000 a month",Easily apply,"Job Types: Full-time, Contract.",Just posted,Responsive employer,,
https://pk.indeed.com/rc/clk?jk=ee39cf6631432697&fccid=37ab7f3c6a4711d0&vjs=3,,MANAGEMENT TRAINEE PROGRAM,,Lahore,,,"This will provide a prospect for fresh graduates to work in a dynamic environment, and learn retail business processes in real time.",20 days ago,,,
https://pk.indeed.com/rc/clk?jk=ab45fe9be665dbd6&fccid=0a8adc92adb8cdc0&vjs=3,,Admin Assistant,Click Jobs,Lahore,,,Experienced candidates are encouraged to apply.,30+ days ago,,,
https://pk.indeed.com/company/The-Fit-Day-Club/jobs/Manager-a566b98e2dde945c?fccid=e3e0f2bad17f96f0&vjs=3,,"Manager, Administration",The Fit Day Club,Islamabad,"Rs 100,000 a month",Easily apply,We are looking for an experienced Administration Manager to supervise daily support operations of our company and plan the most efficient administrative…,30+ days ago,Responsive employer,,
https://pk.indeed.com/rc/clk?jk=15e1804be7b8e9d7&fccid=485eec79cceca3b1&vjs=3,new,Investment Analyst,United Nations Pakistan,Peshawar,,,We are looking for an Investment Analyst for our Stabilization and Development Programme. All interested candidates are encouraged to apply to the link below…,Just posted,,,
https://pk.indeed.com/company/She-Means-Work/jobs/Office-Cook-666145668cc1b20e?fccid=3ac304ea6d578836&vjs=3,new,Office Cook,She Means Work,Lahore,"Rs 30,000 - Rs 35,000 a month",Easily apply,"Job Types: Full-time, Contract.",Just posted,,,
https://pk.indeed.com/company/Mentors-Study-International/jobs/Study-Abroad-Advisor-b19c94a0aae3f7d0?fccid=5c924c1203d09a05&vjs=3,new,Study Abroad Advisor,Mentors Study International,Lahore,"Rs 80,000 - Rs 100,000 a month",Easily apply,Part-time hours: 44 per week.,Today,,"Job Types: Full-time, Part-time, Contract.",Temporarily due to COVID-19.
https://pk.indeed.com/company/NFP-Associates/jobs/Supervisor-7cb9463b0a263d61?fccid=ed5b978d360699ce&vjs=3,,Supervisor,NFP Associates,Islamabad,"Rs 30,000 - Rs 40,000 a month",Easily apply,They operate in and administrative role that helps to facilitate the daily functions and operations of the organization.,30+ days ago,,"Job Types: Full-time, New-Grad.",
https://pk.indeed.com/company/A--List-Security/jobs/Dispatch-Oficer-758ecb96583bc756?fccid=db227ad594e514eb&vjs=3,new,Dispatch Oficer,A-List Security,Lahore,"Rs 30,000 - Rs 40,000 a month",Easily apply,Monitor sites to detect suspicious activity and stay in touch with the guards in regular intervals for progress reports.,1 day ago,,Must be able to work 12-hour shifts.,
https://pk.indeed.com/company/Intercargo-Logistics---Islamabad/jobs/Operation-Coordinator-c1ca7888f0583131?fccid=8158e3e562cb61d8&vjs=3,new,Operations Coordinator,Intercargo Logistics - Islamabad,Islamabad,"Rs 35,000 - Rs 50,000 a month",Easily apply,"You will be providing support to the Dubai office by processing export, import and crosstrade shipments.",4 days ago,Responsive employer,"Initiating, keeping controlled and ensuring smooth…",
https://pk.indeed.com/company/JnJ-Polymer-Private-Limited/jobs/Store-Incharge-86d8553a3ddbb990?fccid=e5030f202e8bb641&vjs=3,,Store Incharge,JnJ Polymer Private Limited,Lahore,"Rs 35,000 - Rs 40,000 a month",Easily apply,Maintain record of in house assets.,30+ days ago,Responsive employer,Provide sustainable linkage to procurement department.,Check and update the receipts of new purchases.
https://pk.indeed.com/company/Khoshgovar-IMPEX/jobs/Data-Entry-Operator-da689e0710906689?fccid=00b14b86500721d6&vjs=3,,Data Entry Operator,Khoshgovar IMPEX,Sahiwal,"Rs 25,000 a month",Easily apply,Insert customer and account data by inputting text based and numerical information from source documents within time limits.,26 days ago,Responsive employer,"Job Types: Full-time, Contract.",
https://pk.indeed.com/company/STAR-Marketing/jobs/Office-Assistant-f5d818457710bc9e?fccid=af1552ac25d0f918&vjs=3,,Office Assistant,,Rawalpindi,"Rs 25,000 - Rs 35,000 a month",Easily apply,Office assistants* handle organizational and clerical support tasks. ...,30+ days ago,Responsive employer,"This may include organizing files, scheduling appointments, writing copy, proofreading,…",
https://pk.indeed.com/company/Adam-Jee/jobs/Team-Leader-cfc9986472f6eb77?fccid=90bcd33dd2678f8f&vjs=3,,Team Leader Lahore,Adam Jee,Lahore,"Rs 25,000 - Rs 45,000 a month",Easily apply,Wtsapp Msg or Call to*.,30+ days ago,Responsive employer,"Job Types: Full-time, Contract.",
https://pk.indeed.com/rc/clk?jk=f91d12bb346ec9f6&fccid=65ae769cb89830ec&vjs=3,,"National Information Officer, UNIC Islamabad",,Islamabad,,,"In line with the Global Communications Strategy of the United Nations and the UN and UN country team (UNCT) branding strategy, supports the development and…",10 days ago,,,
https://pk.indeed.com/company/Mcb-Arif-Habib-Savings-and-Investment-limited/jobs/Relationship-Manager-d5e644970deb5c81?fccid=8a1d433b13eadc56&vjs=3,,Relationship Manager,Mcb Arif Habib Savings and Investment limited,Lahore,"Rs 40,000 - Rs 100,000 a month",Easily apply,"Lead generation through collection of data, cold calls and daily meetings.",30+ days ago,Responsive employer,Delivering sales pitches related to investments and financial advisory.,
https://pk.indeed.com/rc/clk?jk=46827acb292f8f8c&fccid=ff9490b08043a90f&vjs=3,,Management Trainee Officer,,Lahore,,,So Kamal plans to induct fresh graduates in disciplines i.e. (Operations. Audit.,30+ days ago,,From reputable institutions for the position of Management Trainee Officers …,
